Destino	Concepto turístico	Tipo de dato	Periodo	Total
14 Murcia, Región de	Gasto medio diario por persona	Distribución porcentual	2016	""
14 Murcia, Región de	Gasto medio diario por persona	Distribución porcentual	2015	""
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2023	13,92
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2022	27,2
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2021	16,39
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2020	-27,03
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2019	7,11
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2018	7,26
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2017	2,28
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2016	1,97
14 Murcia, Región de	Gasto medio diario por persona	Variación anual	2015	""
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2023	2.227.033
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2022	2.047.897
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2021	1.929.960
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2020	1.710.609
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2019	2.913.496
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2018	2.693.553
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2017	2.927.216
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2016	2.586.215
15 Navarra, Comunidad Foral de	Viajes	Valor absoluto	2015	2.489.414
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2023	1,2
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2022	1,2
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2021	1,4
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2020	1,7
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2019	1,5
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2018	1,4
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2017	1,5
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2016	1,4
15 Navarra, Comunidad Foral de	Viajes	Distribución porcentual	2015	1,4
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2023	8,75
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2022	6,11
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2021	12,82
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2020	-41,29
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2019	8,17
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2018	-7,98
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2017	13,19
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2016	3,89
15 Navarra, Comunidad Foral de	Viajes	Variación anual	2015	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2023	3,05
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2022	3,12
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2021	3,1
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2020	3,41
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2019	2,95
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2018	3,21
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2017	3,09
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2016	3,12
15 Navarra, Comunidad Foral de	Duración media de los viajes	Valor absoluto	2015	3,11
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2023	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2022	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2021	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2020	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2019	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2018	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2017	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2016	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Distribución porcentual	2015	""
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2023	-2,2
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2022	0,6
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2021	-8,98
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2020	15,42
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2019	-8,11
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2018	3,81
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2017	-0,96
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2016	0,6
15 Navarra, Comunidad Foral de	Duración media de los viajes	Variación anual	2015	""
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2023	6.795.820
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2022	6.389.836
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2021	5.985.691
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2020	5.828.617
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2019	8.600.874
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2018	8.653.071
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2017	9.058.526
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2016	8.080.941
15 Navarra, Comunidad Foral de	Pernoctaciones	Valor absoluto	2015	7.731.839
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2023	0,8
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2022	0,9
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2021	1
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2020	1,2
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2019	1,1
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2018	1,1
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2017	1,1
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2016	1
15 Navarra, Comunidad Foral de	Pernoctaciones	Distribución porcentual	2015	1
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2023	6,35
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2022	6,75
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2021	2,69
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2020	-32,23
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2019	-0,6
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2018	-4,48
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2017	12,1
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2016	4,52
15 Navarra, Comunidad Foral de	Pernoctaciones	Variación anual	2015	""
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2023	423.946,11
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2022	411.169,53
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2021	316.360,45
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2020	226.622,55
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2019	405.221,81
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2018	418.760,19
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2017	416.483,79
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2016	364.457,49
15 Navarra, Comunidad Foral de	Gasto total	Valor absoluto	2015	335.076,14
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2023	0,7
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2022	0,8
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2021	1
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2020	1,1
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2019	0,8
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2018	0,9
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2017	0,9
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2016	0,9
15 Navarra, Comunidad Foral de	Gasto total	Distribución porcentual	2015	0,9
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2023	3,11
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2022	29,97
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2021	39,6
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2020	-44,07
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2019	-3,23
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2018	0,55
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2017	14,27
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2016	8,77
15 Navarra, Comunidad Foral de	Gasto total	Variación anual	2015	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2023	190,36
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2022	200,78
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2021	163,92
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2020	132,48
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2019	139,08
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2018	155,47
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2017	142,28
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2016	140,92
15 Navarra, Comunidad Foral de	Gasto medio por persona	Valor absoluto	2015	134,6
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2023	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2022	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2021	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2020	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2019	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2018	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2017	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2016	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Distribución porcentual	2015	""
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2023	-5,19
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2022	22,48
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2021	23,73
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2020	-4,75
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2019	-10,54
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2018	9,27
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2017	0,96
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2016	4,7
15 Navarra, Comunidad Foral de	Gasto medio por persona	Variación anual	2015	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2023	62,38
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2022	64,35
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2021	52,85
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2020	38,88
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2019	47,11
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2018	48,39
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2017	45,98
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2016	45,1
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Valor absoluto	2015	43,34
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2023	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2022	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2021	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2020	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2019	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2018	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2017	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2016	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Distribución porcentual	2015	""
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2023	-3,05
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2022	21,75
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2021	35,93
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2020	-17,47
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2019	-2,65
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2018	5,26
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2017	1,94
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2016	4,07
15 Navarra, Comunidad Foral de	Gasto medio diario por persona	Variación anual	2015	""
16 País Vasco	Viajes	Valor absoluto	2023	3.909.573
16 País Vasco	Viajes	Valor absoluto	2022	3.830.914
16 País Vasco	Viajes	Valor absoluto	2021	3.133.917
16 País Vasco	Viajes	Valor absoluto	2020	2.690.281
16 País Vasco	Viajes	Valor absoluto	2019	4.927.379
16 País Vasco	Viajes	Valor absoluto	2018	4.766.051
16 País Vasco	Viajes	Valor absoluto	2017	4.651.131
16 País Vasco	Viajes	Valor absoluto	2016	4.855.953
16 País Vasco	Viajes	Valor absoluto	2015	4.164.750
16 País Vasco	Viajes	Distribución porcentual	2023	2,1
16 País Vasco	Viajes	Distribución porcentual	2022	2,2
16 País Vasco	Viajes	Distribución porcentual	2021	2,2
16 País Vasco	Viajes	Distribución porcentual	2020	2,6
16 País Vasco	Viajes	Distribución porcentual	2019	2,5
16 País Vasco	Viajes	Distribución porcentual	2018	2,4
16 País Vasco	Viajes	Distribución porcentual	2017	2,4
16 País Vasco	Viajes	Distribución porcentual	2016	2,7
16 País Vasco	Viajes	Distribución porcentual	2015	2,4
16 País Vasco	Viajes	Variación anual	2023	2,05
16 País Vasco	Viajes	Variación anual	2022	22,24
16 País Vasco	Viajes	Variación anual	2021	16,49
16 País Vasco	Viajes	Variación anual	2020	-45,4
16 País Vasco	Viajes	Variación anual	2019	3,38
16 País Vasco	Viajes	Variación anual	2018	2,47
16 País Vasco	Viajes	Variación anual	2017	-4,22
16 País Vasco	Viajes	Variación anual	2016	16,6
16 País Vasco	Viajes	Variación anual	2015	""
16 País Vasco	Duración media de los viajes	Valor absoluto	2023	3,62
16 País Vasco	Duración media de los viajes	Valor absoluto	2022	3,4
16 País Vasco	Duración media de los viajes	Valor absoluto	2021	4,24
16 País Vasco	Duración media de los viajes	Valor absoluto	2020	4,17
16 País Vasco	Duración media de los viajes	Valor absoluto	2019	3,08
16 País Vasco	Duración media de los viajes	Valor absoluto	2018	3,09
16 País Vasco	Duración media de los viajes	Valor absoluto	2017	3,1
16 País Vasco	Duración media de los viajes	Valor absoluto	2016	3,55
16 País Vasco	Duración media de los viajes	Valor absoluto	2015	3,31
16 País Vasco	Duración media de los viajes	Distribución porcentual	2023	""
16 País Vasco	Duración media de los viajes	Distribución porcentual	2022	""
16 País Vasco	Duración media de los viajes	Distribución porcentual	2021	""
16 País Vasco	Duración media de los viajes	Distribución porcentual	2020	""
16 País Vasco	Duración media de los viajes	Distribución porcentual	2019	""
16 País Vasco	Duración media de los viajes	Distribución porcentual	2018	""
16 País Vasco	Duración media de los viajes	Distribución porcentual	2017	""
16 País Vasco	Duración media de los viajes	Distribución porcentual	2016	""
16 País Vasco	Duración media de los viajes	Distribución porcentual	2015	""
16 País Vasco	Duración media de los viajes	Variación anual	2023	6,47
16 País Vasco	Duración media de los viajes	Variación anual	2022	-19,74
16 País Vasco	Duración media de los viajes	Variación anual	2021	1,64
16 País Vasco	Duración media de los viajes	Variación anual	2020	35,24
16 País Vasco	Duración media de los viajes	Variación anual	2019	-0,17
16 País Vasco	Duración media de los viajes	Variación anual	2018	-0,49
16 País Vasco	Duración media de los viajes	Variación anual	2017	-12,62
16 País Vasco	Duración media de los viajes	Variación anual	2016	7,35
16 País Vasco	Duración media de los viajes	Variación anual	2015	""
16 País Vasco	Pernoctaciones	Valor absoluto	2023	14.158.632
16 País Vasco	Pernoctaciones	Valor absoluto	2022	13.030.374
16 País Vasco	Pernoctaciones	Valor absoluto	2021	13.280.605
16 País Vasco	Pernoctaciones	Valor absoluto	2020	11.217.051
16 País Vasco	Pernoctaciones	Valor absoluto	2019	15.191.480
16 País Vasco	Pernoctaciones	Valor absoluto	2018	14.718.591
16 País Vasco	Pernoctaciones	Valor absoluto	2017	14.435.139
16 País Vasco	Pernoctaciones	Valor absoluto	2016	17.247.386
16 País Vasco	Pernoctaciones	Valor absoluto	2015	13.779.644
16 País Vasco	Pernoctaciones	Distribución porcentual	2023	1,8
16 País Vasco	Pernoctaciones	Distribución porcentual	2022	1,7
16 País Vasco	Pernoctaciones	Distribución porcentual	2021	2,1
16 País Vasco	Pernoctaciones	Distribución porcentual	2020	2,3
16 País Vasco	Pernoctaciones	Distribución porcentual	2019	1,9
16 País Vasco	Pernoctaciones	Distribución porcentual	2018	1,8
16 País Vasco	Pernoctaciones	Distribución porcentual	2017	1,8
16 País Vasco	Pernoctaciones	Distribución porcentual	2016	2,2
16 País Vasco	Pernoctaciones	Distribución porcentual	2015	1,8
16 País Vasco	Pernoctaciones	Variación anual	2023	8,66
16 País Vasco	Pernoctaciones	Variación anual	2022	-1,88
16 País Vasco	Pernoctaciones	Variación anual	2021	18,4
16 País Vasco	Pernoctaciones	Variación anual	2020	-26,16
16 País Vasco	Pernoctaciones	Variación anual	2019	3,21
16 País Vasco	Pernoctaciones	Variación anual	2018	1,96
16 País Vasco	Pernoctaciones	Variación anual	2017	-16,31
16 País Vasco	Pernoctaciones	Variación anual	2016	25,17
16 País Vasco	Pernoctaciones	Variación anual	2015	""
16 País Vasco	Gasto total	Valor absoluto	2023	1.126.147,82
16 País Vasco	Gasto total	Valor absoluto	2022	1.067.093,45
16 País Vasco	Gasto total	Valor absoluto	2021	767.965,96
16 País Vasco	Gasto total	Valor absoluto	2020	497.869,93
16 País Vasco	Gasto total	Valor absoluto	2019	954.004,75
16 País Vasco	Gasto total	Valor absoluto	2018	922.081,71
16 País Vasco	Gasto total	Valor absoluto	2017	837.471,33
16 País Vasco	Gasto total	Valor absoluto	2016	899.249,92
16 País Vasco	Gasto total	Valor absoluto	2015	750.949,64
16 País Vasco	Gasto total	Distribución porcentual	2023	1,9
16 País Vasco	Gasto total	Distribución porcentual	2022	2,1
16 País Vasco	Gasto total	Distribución porcentual	2021	2,4
16 País Vasco	Gasto total	Distribución porcentual	2020	2,4
16 País Vasco	Gasto total	Distribución porcentual	2019	2
16 País Vasco	Gasto total	Distribución porcentual	2018	2
16 País Vasco	Gasto total	Distribución porcentual	2017	1,9
16 País Vasco	Gasto total	Distribución porcentual	2016	2,2
16 País Vasco	Gasto total	Distribución porcentual	2015	2
16 País Vasco	Gasto total	Variación anual	2023	5,53
16 País Vasco	Gasto total	Variación anual	2022	38,95
16 País Vasco	Gasto total	Variación anual	2021	54,25
16 País Vasco	Gasto total	Variación anual	2020	-47,81
16 País Vasco	Gasto total	Variación anual	2019	3,46
16 País Vasco	Gasto total	Variación anual	2018	10,1
16 País Vasco	Gasto total	Variación anual	2017	-6,87
16 País Vasco	Gasto total	Variación anual	2016	19,75
16 País Vasco	Gasto total	Variación anual	2015	""
16 País Vasco	Gasto medio por persona	Valor absoluto	2023	288,05
16 País Vasco	Gasto medio por persona	Valor absoluto	2022	278,55
16 País Vasco	Gasto medio por persona	Valor absoluto	2021	245,05
16 País Vasco	Gasto medio por persona	Valor absoluto	2020	185,06
16 País Vasco	Gasto medio por persona	Valor absoluto	2019	193,61
16 País Vasco	Gasto medio por persona	Valor absoluto	2018	193,47
16 País Vasco	Gasto medio por persona	Valor absoluto	2017	180,06
16 País Vasco	Gasto medio por persona	Valor absoluto	2016	185,19
16 País Vasco	Gasto medio por persona	Valor absoluto	2015	180,31
16 País Vasco	Gasto medio por persona	Distribución porcentual	2023	""
16 País Vasco	Gasto medio por persona	Distribución porcentual	2022	""
16 País Vasco	Gasto medio por persona	Distribución porcentual	2021	""
16 País Vasco	Gasto medio por persona	Distribución porcentual	2020	""
16 País Vasco	Gasto medio por persona	Distribución porcentual	2019	""
16 País Vasco	Gasto medio por persona	Distribución porcentual	2018	""
16 País Vasco	Gasto medio por persona	Distribución porcentual	2017	""
16 País Vasco	Gasto medio por persona	Distribución porcentual	2016	""
16 País Vasco	Gasto medio por persona	Distribución porcentual	2015	""
16 País Vasco	Gasto medio por persona	Variación anual	2023	3,41
16 País Vasco	Gasto medio por persona	Variación anual	2022	13,67
16 País Vasco	Gasto medio por persona	Variación anual	2021	32,41
16 País Vasco	Gasto medio por persona	Variación anual	2020	-4,42
16 País Vasco	Gasto medio por persona	Variación anual	2019	0,07
16 País Vasco	Gasto medio por persona	Variación anual	2018	7,45
16 País Vasco	Gasto medio por persona	Variación anual	2017	-2,77
16 País Vasco	Gasto medio por persona	Variación anual	2016	2,7
16 País Vasco	Gasto medio por persona	Variación anual	2015	""
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2023	79,54
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2022	81,89
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2021	57,83
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2020	44,39
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2019	62,8
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2018	62,65
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2017	58,02
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2016	52,14
16 País Vasco	Gasto medio diario por persona	Valor absoluto	2015	54,5
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2023	""
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2022	""
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2021	""
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2020	""
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2019	""
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2018	""
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2017	""
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2016	""
16 País Vasco	Gasto medio diario por persona	Distribución porcentual	2015	""
16 País Vasco	Gasto medio diario por persona	Variación anual	2023	-2,88
16 País Vasco	Gasto medio diario por persona	Variación anual	2022	41,62
16 País Vasco	Gasto medio diario por persona	Variación anual	2021	30,28
16 País Vasco	Gasto medio diario por persona	Variación anual	2020	-29,32
16 País Vasco	Gasto medio diario por persona	Variación anual	2019	0,24
16 País Vasco	Gasto medio diario por persona	Variación anual	2018	7,98
16 País Vasco	Gasto medio diario por persona	Variación anual	2017	11,27
16 País Vasco	Gasto medio diario por persona	Variación anual	2016	-4,33
16 País Vasco	Gasto medio diario por persona	Variación anual	2015	""
17 Rioja, La	Viajes	Valor absoluto	2023	1.662.929
17 Rioja, La	Viajes	Valor absoluto	2022	1.707.775
17 Rioja, La	Viajes	Valor absoluto	2021	1.324.648
17 Rioja, La	Viajes	Valor absoluto	2020	884.921
17 Rioja, La	Viajes	Valor absoluto	2019	1.633.103
17 Rioja, La	Viajes	Valor absoluto	2018	1.644.944
17 Rioja, La	Viajes	Valor absoluto	2017	1.701.644
17 Rioja, La	Viajes	Valor absoluto	2016	1.433.118
17 Rioja, La	Viajes	Valor absoluto	2015	1.657.418
17 Rioja, La	Viajes	Distribución porcentual	2023	0,9
17 Rioja, La	Viajes	Distribución porcentual	2022	1
17 Rioja, La	Viajes	Distribución porcentual	2021	0,9
17 Rioja, La	Viajes	Distribución porcentual	2020	0,9
17 Rioja, La	Viajes	Distribución porcentual	2019	0,8
17 Rioja, La	Viajes	Distribución porcentual	2018	0,8
17 Rioja, La	Viajes	Distribución porcentual	2017	0,9
17 Rioja, La	Viajes	Distribución porcentual	2016	0,8
17 Rioja, La	Viajes	Distribución porcentual	2015	0,9
17 Rioja, La	Viajes	Variación anual	2023	-2,63
17 Rioja, La	Viajes	Variación anual	2022	28,92
17 Rioja, La	Viajes	Variación anual	2021	49,69
17 Rioja, La	Viajes	Variación anual	2020	-45,81
17 Rioja, La	Viajes	Variación anual	2019	-0,72
17 Rioja, La	Viajes	Variación anual	2018	-3,33
17 Rioja, La	Viajes	Variación anual	2017	18,74
17 Rioja, La	Viajes	Variación anual	2016	-13,53
17 Rioja, La	Viajes	Variación anual	2015	""
17 Rioja, La	Duración media de los viajes	Valor absoluto	2023	3,38
17 Rioja, La	Duración media de los viajes	Valor absoluto	2022	3,64
17 Rioja, La	Duración media de los viajes	Valor absoluto	2021	3,76
17 Rioja, La	Duración media de los viajes	Valor absoluto	2020	4,2
17 Rioja, La	Duración media de los viajes	Valor absoluto	2019	3,21
17 Rioja, La	Duración media de los viajes	Valor absoluto	2018	3,26
17 Rioja, La	Duración media de los viajes	Valor absoluto	2017	3,17
17 Rioja, La	Duración media de los viajes	Valor absoluto	2016	3,28
17 Rioja, La	Duración media de los viajes	Valor absoluto	2015	3,19
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2023	""
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2022	""
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2021	""
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2020	""
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2019	""
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2018	""
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2017	""
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2016	""
17 Rioja, La	Duración media de los viajes	Distribución porcentual	2015	""
17 Rioja, La	Duración media de los viajes	Variación anual	2023	-7,04
17 Rioja, La	Duración media de los viajes	Variación anual	2022	-3,12
17 Rioja, La	Duración media de los viajes	Variación anual	2021	-10,6
17 Rioja, La	Duración media de los viajes	Variación anual	2020	31,13
17 Rioja, La	Duración media de los viajes	Variación anual	2019	-1,77
17 Rioja, La	Duración media de los viajes	Variación anual	2018	3,05
17 Rioja, La	Duración media de los viajes	Variación anual	2017	-3,51
17 Rioja, La	Duración media de los viajes	Variación anual	2016	2,74
17 Rioja, La	Duración media de los viajes	Variación anual	2015	""
17 Rioja, La	Pernoctaciones	Valor absoluto	2023	5.628.277
17 Rioja, La	Pernoctaciones	Valor absoluto	2022	6.217.481
17 Rioja, La	Pernoctaciones	Valor absoluto	2021	4.977.848
17 Rioja, La	Pernoctaciones	Valor absoluto	2020	3.719.620
17 Rioja, La	Pernoctaciones	Valor absoluto	2019	5.234.685
17 Rioja, La	Pernoctaciones	Valor absoluto	2018	5.367.611
17 Rioja, La	Pernoctaciones	Valor absoluto	2017	5.388.396
17 Rioja, La	Pernoctaciones	Valor absoluto	2016	4.703.086
